,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
349,KK0866,INDOMILK SKM COKLAT 37G,3,1500,4500,Laris
350,KK0620,PEPSODENT TB DBL CARE SENS ,1,11500,11500,Kurang Laris
351,KK1771,HEXOS LEMON MINT,8,2000,16000,Sangat Laris
352,KK1374,RAMBAK JANGAN ECER,202,80,16160,Sangat Laris
353,KK1054,DELMONTE EXTRA HOT SCT,10,1150,11500,Sangat Laris
354,KK1722,NUVO FRESH PROTECT KEMASAN EKONOMIS,1,3000,3000,Kurang Laris
355,KK0715,MERRIES XL7,4,17000,68000,Sangat Laris
356,KK0951,KRIS BEE JAGUNG BKR 75,2,8500,17000,Laris
357,KK0605,CLEAR SHP A/K COMPLETE (69620) SOFT CARE SCT 2x5mL,2,1000,2000,Laris
358,KK0443,FRESH CARE MINYAK A STRONG BTL 10mL,2,11500,23000,Laris
359,KK1373,PUYER 38,1,8000,8000,Kurang Laris
360,KK1637,CIMORY UHT COKELAT MALT 125ML,7,2500,17500,Sangat Laris
361,KK1858,CHARM SN 350MM 6S,1,10500,10500,Kurang Laris
362,KK0884,HERS PROTEX MX WNG 10'S,3,5500,16500,Laris
363,KK1527,MASKER DUCKBILL ORLEE EARLOOP,8,2000,16000,Sangat Laris
364,KK0458,ULTRA MILK COKLAT 250mL,2,5500,11000,Laris
365,KK1011,SODA KUE R&W,2,1500,3000,Laris
366,KK1736,LAVENDA FRESH FLORAL 8ML,6,500,3000,Sangat Laris
367,KK0372,S/T MISTER KENTANG GR FF,24,2000,48000,Sangat Laris
368,KK1423,MILKO RASA JAGUNG BKR,3,2000,6000,Laris
369,KK0625,MAX TEA TARIKK  BAG 25g,9,2000,18000,Sangat Laris
370,KK1560,SEDAAP CUP BASO SPESIAL,2,4500,9000,Laris
371,KK1793,POP MIE SOTO AYAM,1,4500,4500,Kurang Laris
372,KK1370,AMH JAHE MERAH,14,1000,14000,Sangat Laris
373,KK1678,TOP SKM RCG,32,1000,32000,Sangat Laris
374,KK1607,WIPOL CLASSIC PINE REFILL 500ML,2,10000,20000,Laris
375,KK0012,POP MIE BASO 75g,3,4500,13500,Laris
376,KK1276,AICE BLUEBERRY YOGHURT,12,2500,30000,Sangat Laris
377,KK1901,AMO LEMON C 215ML,4,2000,8000,Sangat Laris
378,KK1872,ICHI OCHA TEH HIJAU 350ML,1,2500,2500,Kurang Laris
379,KK1412,TANGO TIRAMISU/BUBBLEGUM 130G,2,5000,10000,Laris
380,KK1855,CIMORY MIXED BERRY 70ML,2,2000,4000,Laris
381,KK1776,GARUDA PILUS ABON SAPI 9G,15,500,7500,Sangat Laris
382,KK1181,MIE SEDAAP CUP SOTO,3,4500,13500,Laris
383,KK1452,FELIBITE 500G,13,12000,156000,Sangat Laris
384,KK1900,AMO COLA 215ML,10,2000,20000,Sangat Laris
385,KK0135,ABC PLUS 18GR,16,500,8000,Sangat Laris
386,KK1587,MI SUKSES RASA SOTO,3,3500,10500,Laris
387,KK1514,PESTA BALADO 30G,1,2000,2000,Kurang Laris
388,KK1027,LOTTE CHOCOPIE,19,2000,38000,Sangat Laris
389,KK0981,TEH KOTAK APEL 200ML,2,3500,7000,Laris
390,KK1268,SLAI OLAI BLUEBERRY 128 G,1,4500,4500,Kurang Laris
391,KK1903,LOTTE TOPPO VANILA CHOCOLATE,12,2000,24000,Sangat Laris
392,KK0369,GOOD TIME COOKIES CHOCOCHIPS DOUBLE CHOC PCK 17g,21,1000,21000,Sangat Laris
393,KK1025,SPRITE 1L,1,10000,10000,Kurang Laris
394,KK0395,KOBE BON CABE LV 30,2,1000,2000,Laris
395,KK0058,YAKULT,7,3000,21000,Sangat Laris
396,KK1552,TANGO WAFER VANILLA DELIGHT 130G,1,5000,5000,Kurang Laris
397,KK0179,LA ICE 16'S,5,23500,117500,Sangat Laris
398,KK1887,CHITATO LITE SALMON TERIYAKI,2,9000,18000,Laris
399,KK1865,OISHI PANCHOS JP 160GR,2,11000,22000,Laris
400,KK1794,MIKAKO BALADO,2,1000,2000,Laris
401,KK0207,SUN KARA SANTAN KELAPA SIAP PAKAI  PCK 65mL,10,3000,30000,Sangat Laris
402,KK0537,GG FILTER 12'S,6,19000,114000,Sangat Laris
403,KK1656,KAPAS SELECTION 50G,1,6500,6500,Kurang Laris
404,KK1526,MASKER DUCKBILL ORLEE HIJAB,4,2000,8000,Sangat Laris
405,KK0095,OREO SANDWICH ORI  PCK 28.5g,2,2000,4000,Laris
406,KK1356,TEH KOTAK LEMON,4,3500,14000,Sangat Laris
407,KK0461,ULTRA TEH KOTAK EXTRA 50%  TPK 200mL,1,3500,3500,Kurang Laris
408,KK1469,ROMA SANDWICHI KRIM KACANG,1,7000,7000,Kurang Laris
409,KK1814,ROMA KELAPA CREAM COKLAT,3,7500,22500,Laris
410,KK1874,CIMORY MARIE BISKUIT 250ML,1,5500,5500,Kurang Laris
411,KK0584,SUNLIGHT JERUK NIPIS PCH 95/105mL,7,2000,14000,Sangat Laris
412,KK0404,ROMA SARI GANDUM SANDWICH SUSU&CO 115G,1,5500,5500,Kurang Laris
413,KK0864,ROSE BRAND TP BERAS 200G,4,3000,12000,Sangat Laris
414,KK0199,DANCOW GROWTH + FORMULA 27g,6,3500,21000,Sangat Laris
415,KK0368,TIM TAM MAXI 16G,3,1000,3000,Laris
416,KK0895,MI PANDA HIJAU,1,28000,28000,Kurang Laris
417,KK1904,LEANET V-TOS 6G,2,500,1000,Laris
418,KK0622,PEPSODENT HERBAL 190GR,1,18500,18500,Kurang Laris
419,KK1508,BENDERA FF GOLD POUCH 200G,1,9500,9500,Kurang Laris
420,KK1116,COCA COLA 1L,1,10000,10000,Kurang Laris
421,KK1730,LEMONILO RASA PEDAS KOREA,6,6000,36000,Sangat Laris
422,KK0907,PROCOLD FLU,1,3500,3500,Kurang Laris
423,KK0332,CABE KOYO KECIL 10'S  PCK,4,3125,12500,Sangat Laris
424,KK0727,MONDE EGG DROPS 110G,3,6500,19500,Laris
425,KK0050,SEK OM HIJAU,6,500,3000,Sangat Laris
426,KK0017,INDOFOOD SAMBAL PEDAS  SCT 9g,5,1000,5000,Sangat Laris
427,KK1592,ZEE UP&GO SWIZZ STRAWBERRY 200ML,1,5500,5500,Kurang Laris
428,KK1097,SAJIKU TEPUNG BUMBU 240G,5,6000,30000,Sangat Laris
429,KK1801,INDOCAFE JAHE,1,2000,2000,Kurang Laris
430,KK1384,ATTACK JAZ1 PESONA SEGAR 250GR,1,5000,5000,Kurang Laris
431,KK0630,EKONOMI EV500K,2,2000,4000,Laris
432,KK1845,MAESTRO MAYONAIS 100G,1,4500,4500,Kurang Laris
433,KK1319,AGAR SATELIT MERAH 7G,1,3500,3500,Kurang Laris
434,KK0832,PANILI MOBIL,10,200,2000,Sangat Laris
435,KK1419,LAFONTE SPAGHETTI-11 450G,1,17500,17500,Kurang Laris
436,KK0401,ROMA SARI GANDUM 240G,2,7500,15000,Laris
437,KK0423,TEH PUCUK HARUM MELATI BTL 350mL,15,2500,37500,Sangat Laris
438,KK0301,NABATI RICHEESE WAFER KRIM KEJU PCK 50g,1,2000,2000,Kurang Laris
439,KK1488,GO CHOCO CREPES,13,500,6500,Sangat Laris
440,KK0098,OREO SOFT CAKE SINGLE  PCK 16g,2,2000,4000,Laris
441,KK1683,KAPAL API PERMEN COFFE,1,5000,5000,Kurang Laris
442,KK1628,MERRIES S40,1,54000,54000,Kurang Laris
443,KK0634,YOU C100 ORANGE 140ML,1,13000,13000,Kurang Laris
444,KK0388,KAKI TIGA LARUTAN PENYEGAR JAMBU BIJI KLG 320mL,1,6500,6500,Kurang Laris
445,KK0570,LIFEBUOY SHP (84430) KUAT&BERKILAU SCT 1x9mL,4,500,2000,Sangat Laris
446,KK1180,GARUDA ROSTA KACANG PGG 100G,1,8000,8000,Kurang Laris
447,KK1021,KAPAS KARISMA 30G,1,4500,4500,Kurang Laris
448,KK0233,LARISST FC TISSUE 220S,1,9500,9500,Kurang Laris
449,KK1681,MODERN CUTTON BUD BESAR,2,3500,7000,Laris
450,KK1262,KECAP SK 600ML,2,11000,22000,Laris
451,KK0794,SEJATI MIE KUAH AYAM CABE,4,2000,8000,Sangat Laris
452,KK1754,MARINA NAT RICH MOUST 190ML,2,8000,16000,Laris
453,KK0238,GILLETTE RAZOR GOAL II YLW PCS ,1,6500,6500,Kurang Laris
454,KK0008,SUPERMI AYAM BAWANG 75g,8,2500,20000,Sangat Laris
455,KK1237,HATARI SEE HONG PUFF,3,5000,15000,Laris
456,KK1630,MERRIES XL38,1,82000,82000,Kurang Laris
457,KK0273,SHINZUI SBM SKIN WHTNING MATSU BAR 85g,3,3500,10500,Laris
458,KK0290,KOMIX SIRUP OBAT BATUK G-FORMULA JERUK NIPIS SCT 7mL,8,1500,12000,Sangat Laris
459,KK1699,HAPPYTOS CORN CHIPS 160G,1,9000,9000,Kurang Laris
460,KK0966,KRUPUK JEMPOL,2,3000,6000,Laris
461,KK1407,ULTRA MILK KARAMEL 200ML,3,4500,13500,Laris
462,KK0311,KING KONG OBAT NYAMUK BAKAR JUMBO  BOX,1,4000,4000,Kurang Laris
463,KK1895,SUPER BUBUR ABON SAPI 49G,3,3000,9000,Laris
464,KK0048,GARAM HALUS CERDIK,1,1500,1500,Kurang Laris
465,KK1263,DUA BELIBIS 135 ML,1,7500,7500,Kurang Laris
466,KK1460,ULTRA MILK STRAWBERRY 200ML,4,4500,18000,Sangat Laris
467,KK1131,CINCAU CAP PANDA,1,5000,5000,Kurang Laris
468,KK1026,ROMA SARI GANDUM,1,21000,21000,Kurang Laris
469,KK0769,WARDAH P.BR CRMY F,1,16000,16000,Kurang Laris
470,KK1350,REJOICE SHP HIJAB 3IN1 SCT,5,1000,5000,Sangat Laris
471,KK1899,WAFER LONDON KRIM KACANG,3,8000,24000,Laris
472,KK1815,MAXICORN ROASTED CORN 160G,2,8500,17000,Laris
473,KK0035,GARAM KASAR,2,1000,2000,Laris
474,KK0975,GARUDA ROSTA AYAM BWG,2,1000,2000,Laris
475,KK0039,RAGI TAPE,4,500,2000,Sangat Laris
476,KK0195,PANADOL OBAT SAKIT KEPALA CAPLET 10'S EXTRA STR,10,1250,12500,Sangat Laris
477,KK1818,DEKA WAFER ROLL JUMBO CHOCO BANANA,4,1000,4000,Sangat Laris
478,KK0296,SO NICE SOSIS SIAP MAKAN AYAM TPS 24x20g,7,1000,7000,Sangat Laris
479,KK0060,KOPIKO CANDY  PCK 150g,1,6500,6500,Kurang Laris
480,KK1557,ULTRA MIMI KIDS COKELAT 125ML,5,3000,15000,Sangat Laris
481,KK1260,TARO NET SAPI PANGGANG,1,1000,1000,Kurang Laris
482,KK0661,COCA COLA MINI 250ML,2,3000,6000,Laris
483,KK1626,MERRIES M34,1,54000,54000,Kurang Laris
484,KK1854,CHIKI TWIST JAGUNG BAKAR,4,1000,4000,Sangat Laris
485,KK1499,BEJO ANAK DGN JAHE MERAH,3,3000,9000,Laris
486,KK0004,INDOMIE AYAM BAWANG 69g,15,2500,37500,Sangat Laris
487,KK1729,ROMA MARRIE SUSU,1,5000,5000,Kurang Laris
488,KK0014,INDOMIE POP MIE AYM BW MINI 40G,1,3000,3000,Kurang Laris
489,KK0496,NUVO SABUN KESEHATAN FAMILY MERAH BAR 76g,2,2000,4000,Laris
490,KK0519,NUVO SABUN KESEHATAN FAMILY PINK BAR 76g,4,2500,10000,Sangat Laris
491,KK0052,SANDAL SWALLOW 9 5,1,10000,10000,Kurang Laris
492,KK1049,GREEN POCKET TISSUE,5,500,2500,Sangat Laris
493,KK1710,NABATI WAFER BUTTER CARAMEL,2,2000,4000,Laris
494,KK1861,INDUNG KRUPUK BAWANG,2,3000,6000,Laris
495,KK1842,TEH GELAS PET 250ML,5,2000,10000,Sangat Laris
496,KK1397,BUMBUKU BAWANG PUTIH BUBUK 5G,2,500,1000,Laris
497,KK1040,TEPUNG BUMBU PRIMA,1,1000,1000,Kurang Laris
498,KK1216,HATARI MALKIST KELAPA,1,5000,5000,Kurang Laris
499,KK0505,KECAP SEDAAP MNS 225ML,1,8000,8000,Kurang Laris
500,KK0320,MAMY POKO PANTS STD 9'S  PCK MEDIUM,1,20000,20000,Kurang Laris
501,KK1784,KUGI VANILA,1,11000,11000,Kurang Laris
502,KK1810,MI TELUR CAP 3 AYAM,2,4500,9000,Laris
503,KK0205,INDOMILK SUSU CAIR CHOCOLATE BTL 190mL,4,4000,16000,Sangat Laris
504,KK1906,NABATI RICHOCO 252G,10,1000,10000,Sangat Laris
505,KK1371,AICE MOCHI COKELAT,16,3000,48000,Sangat Laris
506,KK1891,SPRITE KLG 250ML,3,5500,16500,Laris
507,KK1240,AICE MIKI MIKI,9,2000,18000,Sangat Laris
508,KK1902,MARLBORO KRETEK 12,5,8500,42500,Sangat Laris
509,KK0515,SO KLIN SOFT ROSY PINK 275g,6,5000,30000,Sangat Laris
510,KK0202,MILO Activ 22GR,2,2000,4000,Laris
511,KK0586,LIFEBUOY SBM TS MILD CARE BAR 80g,1,3000,3000,Kurang Laris
512,KK1883,ZINC HIJAB RAMBUT RONTOK SCT,1,5000,5000,Kurang Laris
513,KK0006,INDOMIE KARI AYAM 72g,1,3000,3000,Kurang Laris
514,KK0418,ENERGEN CEREAL INSTANT VANILLA RCG 10x29g,1,1500,1500,Kurang Laris
515,KK0203,MILO UHT COKLAT TPK 110mL,3,3000,9000,Laris
516,KK1130,NABATI SIIP RICHOCO 5G,1,500,500,Kurang Laris
517,KK1535,NABATI AHH 110G,5,500,2500,Sangat Laris
518,KK1182,ROTI MOONCAKE UNIVERSAL,37,2000,74000,Sangat Laris
519,KK0242,A/ TEPUNG BUMBU SAJIKU  PCK 80g,2,2500,5000,Laris
520,KK0618,PEPSODENT WHITE 75GR,2,4500,9000,Laris
521,KK1372,AICE STRAWBERY CONE,14,4000,56000,Sangat Laris
522,KK1047,SEJATI MIE KUAH KALDU AYAM,1,2000,2000,Kurang Laris
523,KK0918,SEJATI GORENG SOTO AYAM,1,2000,2000,Kurang Laris
524,KK0504,KECAP SEDAAP MNS 63ML,2,2000,4000,Laris
525,KK0096,KRAFT CHEDDAR 70G,2,10000,20000,Laris
526,KK1816,MAXICORN BBQ 150G,1,9000,9000,Kurang Laris
527,KK0416,ENERGEN CHOCOLATE RCG 29g,4,1500,6000,Sangat Laris
528,KK0417,ENERGEN CEREAL INSTANT KACANG HIJAU RCG 10x30g,5,1500,7500,Sangat Laris
529,KK0249,GARUDA SNACK PILUS PEDAS BAG 20x9g,19,500,9500,Sangat Laris
530,KK1453,ENERGEN KURMA SCT,2,2000,4000,Laris
531,KK0880,NABATI RICHOCO 130G,1,5000,5000,Kurang Laris
532,KK1690,POCARI SWEAT 500ML,1,6500,6500,Kurang Laris
533,KK1907,AICE CHOCO BOOST,7,4000,28000,Sangat Laris
534,KK1258,NABATI BISVIT MI RICHOCO,1,2000,2000,Kurang Laris
535,KK0237,FANTA SOFT DRINK STRAWBERRY PET 390mL,2,5000,10000,Laris
536,KK0846,ROMA MALKIS CAPPUCINO 120G,1,6000,6000,Kurang Laris
537,KK1908,CIMORY UHT COKELAT 250ML,3,5500,16500,Laris
538,KK0467,PARAMEX OBAT SAKIT KEPALA (4)  STR,4,2500,10000,Sangat Laris
539,KK0230,BENDERA FF SKM COKLAT KALENG 370GR,1,10500,10500,Kurang Laris
540,KK0138,GOOD DAY COOLIN,4,1500,6000,Sangat Laris
541,KK1198,CHARM SN 350 WING 12',2,15750,31500,Laris
542,KK0950,CIMORY RED GRAPE 250,1,8000,8000,Kurang Laris
543,KK0312,CHARM NGHT 10'S WING 290,1,8500,8500,Kurang Laris
544,KK1645,COSSONS BABY CREAM SOFT&SMOOTH 50G,1,17000,17000,Kurang Laris
545,KK0460,ULTRA MILK COKLAT 125mL,8,3000,24000,Sangat Laris
546,KK1166,AICE SUSU TELUR,2,4000,8000,Laris
547,KK1859,SO KLIN  SOFT FRESH BREEZE 275G,2,5000,10000,Laris
548,KK1583,INDOMIE RENDANG,1,3000,3000,Kurang Laris
549,KK1551,RING MANIA,2,2000,4000,Laris
550,KK1594,HILO AVOCADO CHOCOLATE 14G,1,1500,1500,Kurang Laris
551,KK1431,SEDAAP MIE KOREAN SPICY SOUP,4,2500,10000,Sangat Laris
552,KK0621,CLOSEUP 110GR,1,12500,12500,Kurang Laris
553,KK0512,GIV  MULBERY&COLAGEN 76G,2,2500,5000,Laris
554,KK0307,C/LANG MINYAK KAYU PUTIH BTL 60mL,2,20000,40000,Laris
555,KK1436,INDOMIE SEBLAK HOT JELETOT,3,3000,9000,Laris
556,KK0031,MOTO MOBIL 130G,1,5000,5000,Kurang Laris
557,KK0930,KRUPUK UDANG 3 BURUNG,12,1500,18000,Sangat Laris
558,KK1715,FRESCO CAPPUCINO 25G,8,1500,12000,Sangat Laris
559,KK0123,NISSIN BISCUITS KERING BELIMBING,1,8000,8000,Kurang Laris
560,KK1802,INDOCAFE GINGSEG,2,2000,4000,Laris
561,KK1889,TIC TAC RASA PEDAS 90G,2,6000,12000,Laris
562,KK1636,SOSIS CHAMP SAPI,3,1000,3000,Laris
563,KK1633,PASEO SMART 50S,3,2500,7500,Laris
564,KK0594,RINSO MOLTO FRESS 240GR,1,5000,5000,Kurang Laris
565,KK1770,BENDERA FF KRIMER POUCH 200G,1,7000,7000,Kurang Laris
566,KK1588,MI SUKSES RASA AYAM BAWANG,1,3500,3500,Kurang Laris
567,KK1009,DJARUM MLD 20,1,27500,27500,Kurang Laris
568,KK1308,BONCABE SNACK MAKARONI 30G LV 10,9,2000,18000,Sangat Laris
569,KK1897,NISSIN RAMEN CURRY RASA KARI JEPANG 104G,1,6500,6500,Kurang Laris
570,KK0755,CIPTADENT FRESSH MINT 75,1,3500,3500,Kurang Laris
571,KK1742,CIMORY FRESH MILK CASHEW 125ML,2,2500,5000,Laris
572,KK1915,KOKO MELO,10,2000,20000,Sangat Laris
573,KK0127,REXONA DEO LOTION WOMEN FREE SPIRIT PCS 9g,1,2500,2500,Kurang Laris
574,KK0092,NUTRISARI JERUK NIPIS SCT 11g,2,1500,3000,Laris
575,KK0359,DIPLOMAT  PREMIUM MILD FILTER BKS 16'S,1,17000,17000,Kurang Laris
576,KK1149,AICE CHOCOLATE STICK,1,2000,2000,Kurang Laris
577,KK0694,ZYLUC STICK CHOCOLATE 45G,1,2000,2000,Kurang Laris
578,KK1916,CHITATO SAPI BUMBU BAKAR 68G,3,9000,27000,Laris
579,KK0011,POP MIE AYAM 75g,3,4500,13500,Laris
580,KK0697,BISKITOP VEG 60G,1,2000,2000,Kurang Laris
581,KK0613,RINSO MOLTO FRESS 44GR,3,1000,3000,Laris
582,KK1497,KETEMON KENTANG MEXICO,2,500,1000,Laris
583,KK0482,MIE SEDAAP CUP GORENG 81G,3,4500,13500,Laris
584,KK1446,CLOUD9 CHOCOLATE 8G,44,500,22000,Sangat Laris
585,KK1289,BONCABE MAKARONI 150G LV 15,3,7500,22500,Laris
586,KK0871,KETELA LEVEL 9,14,500,7000,Sangat Laris
587,KK0250,GARUDA SNACK PILUS SAPI PANGGANG PCK 9g,5,500,2500,Sangat Laris
588,KK1228,SHINZUI BS MYORI 120G,1,8500,8500,Kurang Laris
589,KK1928,YOSAN COKLAT CHOYO,11,500,5500,Sangat Laris
590,KK0214,MERRIES M1,2,2500,5000,Laris
591,KK1913,RAMENE ORIGINAL,10,500,5000,Sangat Laris
592,KK1911,KRIPIK JOSS SAPI PANGGANG,5,500,2500,Sangat Laris
593,KK0591,SUNLIGHT LIME PCH 755/780mL,3,14500,43500,Laris
594,KK0232,NICE 200'S,1,9000,9000,Kurang Laris
595,KK1426,PASEO SMART FACIAL 250S,1,10500,10500,Kurang Laris
596,KK0317,CHARM 2'S EXT MAX WNG ,2,1500,3000,Laris
597,KK0211,LAURIER  WANITA SOFT CARE 8'S SPR MXI ACT.DAY BAG,1,4000,4000,Kurang Laris
598,KK1468,MI BONCABE RASA MIE GORENG 70G,1,3000,3000,Kurang Laris
599,KK0709,LISTERIN FRESH BURST 250ML,1,22500,22500,Kurang Laris
600,KK1868,REBO KARAMEL150 G,1,13000,13000,Kurang Laris
601,KK1291,OISHI PILLOWS UBI 110G,1,9000,9000,Kurang Laris
602,KK0655,KISS BARLEY,24,250,6000,Sangat Laris
603,KK0868,ORCHID SISIR,9,3000,27000,Sangat Laris
604,KK0462,ULTRA JAYA SARI KACANG HIJAU 250mL,3,4000,12000,Laris
605,KK0414,TORABIKA CAPPUCCINO 25g,8,2000,16000,Sangat Laris
606,KK1343,BONCABE BOTOL 45G LVL 15,2,8000,16000,Laris
607,KK1395,DUA BELIBIS SAUS CABE REFILL 1K,1,33000,33000,Kurang Laris
608,KK0896,SUN JERUK APEL PISANG 120G,1,8500,8500,Kurang Laris
609,KK0542,GG SIGNATURE MILD 16'S,1,21000,21000,Kurang Laris
610,KK1731,KOREK GAS CETEKAN G2000,1,2500,2500,Kurang Laris
611,KK0527,GIV SBM DAMASK ROSE&CHERRY BLSM 76g,1,2500,2500,Kurang Laris
612,KK0654,GERY MEISES 7GR,19,500,9500,Sangat Laris
613,KK0137,G/DAY MOCACINNO 20g,5,1500,7500,Sangat Laris
614,KK0628,DJARUM  FILTER 16'S BLACK CAPPUCINO BKS,1,23000,23000,Kurang Laris
615,KK1112,EXCEL HIJAU 500G,2,11000,22000,Laris
616,KK0141,GOOD DAY CHOCOCINNO 20g,15,1500,22500,Sangat Laris
617,KK0549,OSKADON SP OBAT PEREDA NYERI 4'S  STR ,1,2500,2500,Kurang Laris
618,KK1053,PADAMU BIHUN BESAR 350,1,5500,5500,Kurang Laris
619,KK0405,ROMA BISCUIT SANDWICH CHOCOLATE PCK 216g,2,7000,14000,Laris
620,KK1921,PILUS MANTUL,3,2000,6000,Laris
621,KK0488,MIE SEDAAP CUP SELECTION KOREAN SP 81G,4,5000,20000,Sangat Laris
622,KK0142,GOOD DAY CARREBIAN NUT,4,1500,6000,Sangat Laris
623,KK0139,GOOD DAY ORIGINAL,2,1500,3000,Laris
624,KK1332,MANDIRI SNACK,3,5000,15000,Laris
625,KK1918,DORAEMON MERRY MI GORENG,16,500,8000,Sangat Laris
626,KK1925,INDOMILK BISKUIT MARIE BOTOL 190ML,1,4000,4000,Kurang Laris
627,KK0680,MAZZONI MAYONAIS ORIG 250ML,1,7500,7500,Kurang Laris
628,KK1051,MIE KUDA MENJANGAN,1,5000,5000,Kurang Laris
629,KK0251,GERY WAFER ROLL CHOCOLATOS DARK PCK 16g,1,1000,1000,Kurang Laris
630,KK0638,ULTRA MINI VANILA 125ML,2,3000,6000,Laris
631,KK0140,G/DAY CAPPUCCINO 25g,1,2000,2000,Kurang Laris
632,KK1863,SABUN MY BABY SOFT&GENTLE 75G,2,3500,7000,Laris
633,KK0194,ZWITSAL BABY SOAP RICH HONEY 70G,1,4000,4000,Kurang Laris
634,KK1923,TANGO DRINK KIDO 115ML,2,2500,5000,Laris
635,KK1134,PIATTOS IGA PENYET 11G,3,1000,3000,Laris
636,KK1733,CIMORY MIXED FRUIT 250ML,2,8000,16000,Laris
637,KK0191,BIMOLI MINYAK GORENG (REFILL)  PCH 1000mL,20,19100,382000,Sangat Laris
638,KK1432,INDOMIE SOTO LAMONGAN,6,3000,18000,Sangat Laris
639,KK1610,SUPERMIE NUTRIMI MI GRG,5,3000,15000,Sangat Laris
640,KK1920,VELLSTAR RASA COKLAT,2,2000,4000,Laris
641,KK1924,FRISIAN FLAG UHT MILKY COKLAT 180ML,1,4000,4000,Kurang Laris
642,KK1445,PIATTOS RUMPUT LAUT 11G,1,1000,1000,Kurang Laris
643,KK1756,DJI SAM SOE EDISI KHUSUS,3,17000,51000,Laris
644,KK0900,CERELAC KACANG HIJAU 120G,1,11000,11000,Kurang Laris
645,KK0717,SAMPOERNA KRETEK 12'S,2,12500,25000,Laris
646,KK1926,PIATTOS BBQ 20G,1,2000,2000,Kurang Laris
647,KK0149,FRESSCO 158GR,1,10000,10000,Kurang Laris
648,KK1713,TANGO WAFER CHOCO TIRAMISU 24G,2,1000,2000,Laris
649,KK0308,C/LANG MINYAK KAYU PUTIH  BTL 30mL,2,10500,21000,Laris
650,KK1879,BIO PLUS 230ML,1,4000,4000,Kurang Laris
651,KK0645,SCOTCH BRITE SPONS 3000,1,3000,3000,Kurang Laris
652,KK1787,MASKER MOUSON KF94,8,2000,16000,Sangat Laris
653,KK1917,CHITATO ORIGINAL 68G,1,9000,9000,Kurang Laris
654,KK0855,COCA COLA BTL 390ML,1,5000,5000,Kurang Laris
655,KK0268,POP ICE  MANGGA RCG 25g,5,1000,5000,Sangat Laris
656,KK1919,MARRY QUEEN CHOCOLATE,3,2000,6000,Laris
657,KK0236,SPRITE SOFT DRINK  PET 390mL,1,5000,5000,Kurang Laris
658,KK0928,OVALET R&W 50G,4,2500,10000,Sangat Laris
659,KK1905,MOMOGI JAGUNG 25G,1,2000,2000,Kurang Laris
660,KK1082,TOP PLUS GULA,4,500,2000,Sangat Laris
661,KK1663,PEPSODENT WHITE 120G,1,7000,7000,Kurang Laris
662,KK1929,OBAT PULI,2,1000,2000,Laris
663,KK1597,HILO CHOCALATE BANANA,3,1500,4500,Laris
664,KK1485,EMERON LOVELY WHT UV JEJU ORANGE 100ML,1,5000,5000,Kurang Laris
665,KK0466,FORTUNE MINYAK GORENG REFILL PCH 2000mL,1,37500,37500,Kurang Laris
666,KK0384,GULAKU PREMIUM HIJAU 1000G,2,13500,27000,Laris
667,KK0224,INDOCAFE COFFEE MIX 3 IN 1  PCK 10X20g,1,14500,14500,Kurang Laris
668,KK1582,GIV CAIR HIJAB 60ML,1,2500,2500,Kurang Laris
669,KK0886,CIMORY BLUEBERRY 250ML,1,8000,8000,Kurang Laris
670,KK0491,FLORIDINA JUICE PULP ORANGE BTL 350/360mL,2,3000,6000,Laris
671,KK1146,TISU BASAH KODOMO BIRU,1,8000,8000,Kurang Laris
672,KK1624,NUVO SABUN KESEHATAN FAMILY BIRU BAR 76g,1,2000,2000,Kurang Laris
673,KK1463,MAMASUKA BUMBU KUAH BAKSO,6,500,3000,Sangat Laris
674,KK0345,LOMBOK GANDARIA SAUS CABAI PCK 600mL,1,3500,3500,Kurang Laris
675,KK1226,LARUTAN CAP BADAK LECI KLG,2,6000,12000,Laris
676,KK1165,CIMORY LYCHEE 25ML,1,8000,8000,Kurang Laris
677,KK1691,CIMORY ORIGINAL 250ML,2,8000,16000,Laris
678,KK1706,CIMORY FRESH MILK ALMOND 250ML,1,5500,5500,Kurang Laris
679,KK0897,SUN BROKOLI WORTEL120G,1,8500,8500,Kurang Laris
680,KK0828,CUSSONS BABY SOAP S&S 75G,2,3500,7000,Laris
681,KK1885,SEDAAP KECAP MANIS 60G,1,2500,2500,Kurang Laris
682,KK0243,A/ SAUS TIRAM SAORI  PCK 10x23mL,1,2500,2500,Kurang Laris
683,KK1360,INDOFOOD SAMBAL PEDAS DAHSYAT 135ML,1,7000,7000,Kurang Laris
684,KK0150,GOOD DAY CARAMELLO,1,1500,1500,Kurang Laris
685,KK1267,LARUTAN BADAK KALENG JAMBU,1,6000,6000,Kurang Laris
686,KK1912,RAMENE SAPI PANGGANG,4,500,2000,Sangat Laris
687,KK0509,DAIA +SOFT PINK  290g,1,5000,5000,Kurang Laris
688,KK0862,MUTIARA ZEBRA,1,2500,2500,Kurang Laris
689,KK1910,FANTA ORANGE 390ML,1,5000,5000,Kurang Laris
690,KK1494,CHOCO BALL 9G,1,500,500,Kurang Laris
691,KK1470,OREO STRAWBERRY CREAM 133G,1,7000,7000,Kurang Laris
692,KK1711,TANGO WAFER CHOCO JAVAMOCHA 24G,2,1000,2000,Laris
693,KK1032,SLAI O'LAI SELAI NANAS 128G,1,4500,4500,Kurang Laris
