,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
70,KK0444,HOTIN CREAM PUTIH 120G,1,21000,21000,Kurang Laris
71,KK0285,INDOMILK UHT KIDS COKELAT 115mL,6,3000,18000,Sangat Laris
72,KK0480,SEDAAP MIE AYAM BAWANG PCK 70g,65,2500,162500,Sangat Laris
73,KK1586,SEDAAP GORENG SALERO PADANG,9,3000,27000,Sangat Laris
74,KK1774,NANO NANO KULIT JERUK 12.5G,28,2000,56000,Sangat Laris
75,KK0610,BANGO KECAP MANIS 20ml,4,1000,4000,Sangat Laris
76,KK0215,MERRIES L1,13,2500,32500,Sangat Laris
77,KK1725,FRUIT TEA BTL PASSION FRUIT 350ML,3,3500,10500,Laris
78,KK1823,NISSIN GEKIKARA RAMEN JAMUR PDS,3,6500,19500,Laris
79,KK1824,NISSIN GEKIKARA GORENG AYAM  PDS,2,6500,13000,Laris
80,KK0689,KALPA WAFER COKLAT KELAPA 24G,7,2000,14000,Sangat Laris
81,KK0459,ULTRA  SLIM COKLAT TPK 200mL,6,4500,27000,Sangat Laris
82,KK0192,PALMIA MARGARINE SERBA GUNA  PCK 200g,1,4500,4500,Kurang Laris
83,KK1719,SIKAT GIGI FORMULA DOUBLE ACTION,3,3000,9000,Laris
84,KK0619,PEPSODENT 190G,3,10500,31500,Laris
85,KK0589,BANGO KECAP MANIS REFILL 10050/10034  PCH 575/550mL,1,24000,24000,Kurang Laris
86,KK1301,MAMA LIME CHARCOAL 780ML,2,14000,28000,Laris
87,KK0499,SO KLIN SMART COLOR 800g,4,19000,76000,Sangat Laris
88,KK0019,INDOFOOD SAMBAL XTRA PDS BTL 135/140mL,3,5500,16500,Laris
89,KK0957,SAORI SAOS TIRAM 270,1,19000,19000,Kurang Laris
90,KK1456,SAMPOERNA A MILD BIRU 16S,20,22500,450000,Sangat Laris
91,KK0078,POCARI SWEAT  BTL 350mL,3,5500,16500,Laris
92,KK0935,MAURI PAN,2,3000,6000,Laris
93,KK0803,TOP WAFER CRM CHO,1,8500,8500,Kurang Laris
94,KK1312,ABC JUS APEL 250ML,1,6500,6500,Kurang Laris
95,KK1785,CHITATO LITE RUMPUT LAUT 35G,2,5500,11000,Laris
96,KK1059,BENDERA FF PUREFARM KETAN HITAM 225ML,5,5500,27500,Sangat Laris
97,KK0375,DUA KELINCI KACANG SUKRO OVEN BAWANG PCK 12g,3,1000,3000,Laris
98,KK0974,SIMBA CHOCO CHIP 6G,1,500,500,Kurang Laris
99,KK1347,KISS PRAY BLUIS SEMPROT 318ML,2,11500,23000,Laris
100,KK1119,MENARA SEWU 16,1,15000,15000,Kurang Laris
101,KK0850,ULTRA JAYA SARI ASEM 250ML,6,5000,30000,Sangat Laris
102,KK0110,GOOD TIME  72G DOUBLE CHOC CCHIPS,2,6500,13000,Laris
103,KK1835,WISKAS PCH 1+ OCEAN FISH 80G,2,7000,14000,Laris
104,KK0861,GULA KACANG MERBABU,4,10000,40000,Sangat Laris
105,KK0479,SEDAAP MIE GORENG PCK 90g,69,2500,172500,Sangat Laris
106,KK1269,SEDAAP MIE SINGAPORE SPICY LAKSA,20,2500,50000,Sangat Laris
107,KK0007,INDOMIE GORENG PLUS SPECIAL 80g,45,3000,135000,Sangat Laris
108,KK0446,ANDALAN FILTER 12,45,11500,517500,Sangat Laris
