Kode,Nama,Jumlah,Harga,Total
KK1467,INDOMIE GORENG JUMBO AYAM PGG,6,4000,24000
KK0734,TASTY AYAM GEPREK MTH 124G,3,5000,15000
KK1139,SAMPOERNA KRETEK 12 EDISI KHUSUS,5,13500,67500
KK0691,AQUA GALON 19L,9,18000,162000
KK1154,AICE COKLAT CRISPY,8,4000,32000
KK0341,VANISH CAIR 60mL,2,3500,7000
KK1219,MOLTO EDP ELEGANT 10ML,4,500,2000
KK0471,KODOMO ORANGE 45G,1,5500,5500
KK0926,KODOMO SAMPO BLUEBERRY 45ML,2,2500,5000
KK1177,KODOMO SIKAT GIGI SOFT,2,3000,6000
KK1567,MARIE SUSU INAFOOD,2,2500,5000
KK1882,HEAD&SHOULDERS ITCH CARE+,2,1000,2000
KK0962,GARAM BATA,7,2500,17500
KK0407,BETTER SANDWICH BISCUIT 120G,3,7000,21000
KK1507,VIGO SOSIS SAPI,18,500,9000
KK1246,TOLAK ANGIN ANAK,1,2500,2500
KK1884,CHITATO KEJU 68G,3,9000,27000
KK1461,ULTRA MILK FULL CREAM 250ML,2,5500,11000
KK1839,MONDE BUTTER COOKIES 90G,2,9500,19000
KK1701,SUPERSTAR SNAPS 28G,5,1500,7500
KK0569,BANGO KECAP MANIS REFILL (24205)  PCH 220mL,5,11000,55000
KK0901,ROYCO AYAM 100G,3,5000,15000
KK1101,GARAM SEGI TIGA 200G,6,1500,9000
KK0248,GARUDA KACANG KULIT  PCK 10x16g,6,1000,6000
KK0736,POP MIE KUAH PDS DWR,2,5500,11000
KK0533,KOPI JAHE SIDOMUNCUL,5,1500,7500
KK0245,KISPRAY VIOLET SCT 7mL,4,500,2000
KK0593,WIPOL LANTAI CLC 780mL,1,15000,15000
KK1248,SUSU ISAM STRAWBERRY,10,1500,15000
KK1150,AICE SEMANGKA,18,2000,36000
KK0231,BENDERA FF SKM COKLAT 40g,4,1500,6000
KK0366,R&W BAKING POWDER 15GR,3,1500,4500
KK1893,SANIA 1L,2,18000,36000
KK1162,AICE STRAWBERY CUP SUNDAE,6,4000,24000
KK1156,AICE MILK MELON,12,2500,30000
KK1565,HERS PROTEX MX WING 20,1,10000,10000
KK1050,MAZZONI BALADO EXTRA PDS 100G,1,5000,5000
KK1029,TIM TAM MAXI VANILLA 16G,4,1000,4000
KK1612,LAURIER SUPER MAXI 20',3,10500,31500
KK1066,DETTOL COOL 60G,3,3500,10500
KK0252,GERY CHOCOLATE WAFER SALUUT HAZELNUT PCK 6g,1,500,500
KK0357,LUWAK WHT KOFFIE ORIGINAL BTL 240/220mL ,2,5500,11000
KK0917,FANTA STROBERRI 250ML,2,3000,6000
KK1788,SEDAAP GORENG AYAM BAKAR LIMAU,13,3000,39000
KK1256,CHIKI BALLS CHEESE 10G,2,1000,2000
KK0495,GIV SBM UNGU PASION FLOWER&SWEET BERRY 76g,1,2500,2500
KK1151,AICE NANAS,7,2000,14000
KK0776,CLEVO SUSU STRW 115ML,5,2500,12500
KK1122,POP MIE MINI SOTO 35G,1,3000,3000
KK0585,LIFEBUOY SBM TS TOTAL 10 BAR 80g,1,3000,3000
KK0857,FRUIT TEA BTL BLCKCURRANT350ML,13,3500,45500
KK0430,LADAKU MERICA 4g,13,1000,13000
KK1820,DOWNY MYSTIQUE 10ML,4,1000,4000
KK1558,GERY SALUT MALKIS CHOCOLATE 110G,1,6000,6000
KK01020,MINYAK GORENG TAWON 800ML,10,16850,168500
KK0702,CHITATO BBQ 35G,2,5000,10000
KK1375,ULTRA MILK FULL CREAM 200ML,1,4500,4500
KK0120,NISSIN CRACKERS CRISPY PCK 225g,3,8000,24000
KK1867,REBO ORIGINAL 150 G,2,13000,26000
KK1765,MILK LIFE STRAWBERRY 125ML,2,2500,5000
KK0781,TANGO WAFER COKLAT 130G,1,5500,5500
KK1245,ANTANGIN JUNIOR,2,2000,4000
KK0662,SPRITE MINI 250ML,5,3000,15000
KK1316,ABC KACANG HIJAU 250ML,2,4000,8000
KK1834,WISKAS PCH 7+ TUNA 80G,1,7000,7000
KK0389,KAKI TIGA LARUTAN PENYEGAR LECI KLG 320mL,1,6500,6500
KK1472,HYDRO COCO 250ML,3,6000,18000
KK0348,MOMOGI SNACK STICK CHOCOLATE PCK 8/6g,10,500,5000
KK1492,GULA JAWA SEPRAPATAN 250G,3,3500,10500
KK0708,LIFIA PIA KACANG HIJAU,2,10000,20000
KK0431,DESAKU KETUMBAR  PCK 12x15g,1,1000,1000
KK0424,KOPIKAP CAPPUCCINO 165mL,93,1000,93000
KK1869,BENDERA FF UHT COKELAT 115ML,3,2500,7500
KK1650,NUTRIJELL COKLAT 20G,2,3000,6000
KK0090,NUTRISARI FLORIDA ORANGE SCT 12/14g,2,1500,3000
KK1800,CHITATO LITE RUMPUT LAUT 14G,9,2000,18000
KK0848,LEANET TIC TIC BALADO,4,500,2000
KK0745,OREO RED VELVET 123,2,8000,16000
KK1320,BAYCLIN REGULER 100ML,1,2500,2500
KK1808,ALE-ALE MULWA,22,1000,22000
KK1724,TEBS BOTOL 500ML,6,6000,36000
KK0574,LUX VELVET JASMINE 80GR,1,3500,3500
KK1199,VEGETA HERBAL,3,3000,9000
KK0030,MOTO MOBIL 25G,3,1000,3000
KK0923,TIC TIC RASA BAWANG 20G,15,2000,30000
KK0664,MILKU COKLAT 200ML,4,3000,12000
KK0704,DETTOL FRESH 105G,2,5500,11000
KK1253,MOMOGI TUTTI FRUTTI,5,500,2500
KK0596,ROYCO SAPI 9g,15,800,12000
KK1464,DESAKU BUBUK BALADO,1,2000,2000
KK0556,DJI SAM SOE  FILTER MAGNUM MILD BKS 16's,2,21000,42000
KK0747,OREO ORIGINAL 133,3,7000,21000
KK0866,INDOMILK SKM COKLAT 37G,3,1500,4500
KK0620,PEPSODENT TB DBL CARE SENS ,1,11500,11500
KK1771,HEXOS LEMON MINT,8,2000,16000
KK1374,RAMBAK JANGAN ECER,202,80,16160
KK1054,DELMONTE EXTRA HOT SCT,10,1150,11500
KK1722,NUVO FRESH PROTECT KEMASAN EKONOMIS,1,3000,3000
KK0715,MERRIES XL7,4,17000,68000
KK0951,KRIS BEE JAGUNG BKR 75,2,8500,17000
KK0605,CLEAR SHP A/K COMPLETE (69620) SOFT CARE SCT 2x5mL,2,1000,2000
KK0443,FRESH CARE MINYAK A STRONG BTL 10mL,2,11500,23000
KK1373,PUYER 38,1,8000,8000
KK1637,CIMORY UHT COKELAT MALT 125ML,7,2500,17500
KK1858,CHARM SN 350MM 6S,1,10500,10500
KK0884,HERS PROTEX MX WNG 10'S,3,5500,16500
KK1527,MASKER DUCKBILL ORLEE EARLOOP,8,2000,16000
KK0458,ULTRA MILK COKLAT 250mL,2,5500,11000
KK1011,SODA KUE R&W,2,1500,3000
KK1736,LAVENDA FRESH FLORAL 8ML,6,500,3000
KK0372,S/T MISTER KENTANG GR FF,24,2000,48000
KK1423,MILKO RASA JAGUNG BKR,3,2000,6000
KK0625,MAX TEA TARIKK  BAG 25g,9,2000,18000
KK1560,SEDAAP CUP BASO SPESIAL,2,4500,9000
KK1793,POP MIE SOTO AYAM,1,4500,4500
KK1370,AMH JAHE MERAH,14,1000,14000
KK1678,TOP SKM RCG,32,1000,32000
KK1607,WIPOL CLASSIC PINE REFILL 500ML,2,10000,20000
