Kode,Nama,Jumlah,Harga,Total
KK1910,FANTA ORANGE 390ML,1,5000,5000
KK1494,CHOCO BALL 9G,1,500,500
KK1470,OREO STRAWBERRY CREAM 133G,1,7000,7000
KK1711,TANGO WAFER CHOCO JAVAMOCHA 24G,2,1000,2000
KK1032,SLAI O'LAI SELAI NANAS 128G,1,4500,4500
KK1503,DETTOL BAR ACTIVE 100G,1,5500,5500
KK1933,MILO UHT ACTIV-GO 180ML,1,5500,5500
KK0468,HEXOS MINT,1,2000,2000
KK1647,NUVO HS FRESH BLOSSOM REFILL 250ML,1,11500,11500
KK1741,ROMA KELAPA CREAM,1,7500,7500
KK1414,FRISIAN FLAG KOMPLETA COKLAT 35G,2,3000,6000
KK1935,MY CHOCO BOOM,1,1500,1500
